sample,pop,super_pop,gender,gender_numeric,pop_numeric,super_pop_numeric
HG01944,PEL,AMR,male,1,10,2
HG01945,PEL,AMR,female,2,10,2
HG01947,PEL,AMR,male,1,10,2
HG01948,PEL,AMR,female,2,10,2
HG01950,PEL,AMR,male,1,10,2
HG01951,PEL,AMR,female,2,10,2
HG01953,PEL,AMR,male,1,10,2
HG01954,PEL,AMR,female,2,10,2
HG01956,ACB,AFR,female,2,1,1
HG01958,ACB,AFR,female,2,1,1
HG01961,PEL,AMR,male,1,10,2
HG01965,PEL,AMR,female,2,10,2
HG01967,PEL,AMR,male,1,10,2
HG01968,PEL,AMR,female,2,10,2
HG01970,PEL,AMR,male,1,10,2
HG01971,PEL,AMR,female,2,10,2
HG01973,PEL,AMR,female,2,10,2
HG01974,PEL,AMR,male,1,10,2
HG01976,PEL,AMR,female,2,10,2
HG01977,PEL,AMR,male,1,10,2
HG01979,PEL,AMR,male,1,10,2
HG01980,PEL,AMR,female,2,10,2
HG01982,PEL,AMR,male,1,10,2
HG01985,ACB,AFR,female,2,1,1
HG01986,ACB,AFR,male,1,1,1
HG01988,ACB,AFR,male,1,1,1
HG01989,ACB,AFR,female,2,1,1
HG01990,ACB,AFR,male,1,1,1
HG01991,PEL,AMR,male,1,10,2
HG01992,PEL,AMR,female,2,10,2
HG01997,PEL,AMR,female,2,10,2
HG02002,PEL,AMR,male,1,10,2
HG02003,PEL,AMR,female,2,10,2
HG02006,PEL,AMR,female,2,10,2
HG02008,PEL,AMR,male,1,10,2
HG02009,ACB,AFR,male,1,1,1
HG02010,ACB,AFR,female,2,1,1
HG02012,ACB,AFR,female,2,1,1
HG02013,ACB,AFR,male,1,1,1
HG02014,ACB,AFR,male,1,1,1
HG02016,KHV,EAS,female,2,9,3
HG02017,KHV,EAS,male,1,9,3
HG02019,KHV,EAS,female,2,9,3
HG02020,KHV,EAS,male,1,9,3
HG02023,KHV,EAS,male,1,9,3
HG02025,KHV,EAS,female,2,9,3
HG02026,KHV,EAS,male,1,9,3
HG02028,KHV,EAS,female,2,9,3
HG02029,KHV,EAS,male,1,9,3
HG02031,KHV,EAS,female,2,9,3
HG02032,KHV,EAS,male,1,9,3
HG02035,KHV,EAS,male,1,9,3
HG02040,KHV,EAS,male,1,9,3
HG02047,KHV,EAS,male,1,9,3
HG02048,KHV,EAS,female,2,9,3
HG02049,KHV,EAS,female,2,9,3
HG02050,KHV,EAS,male,1,9,3
HG02051,ACB,AFR,male,1,1,1
HG02052,ACB,AFR,female,2,1,1
HG02053,ACB,AFR,male,1,1,1
HG02054,ACB,AFR,female,2,1,1
HG02057,KHV,EAS,female,2,9,3
HG02058,KHV,EAS,male,1,9,3
HG02060,KHV,EAS,female,2,9,3
HG02061,KHV,EAS,male,1,9,3
HG02064,KHV,EAS,male,1,9,3
HG02067,KHV,EAS,male,1,9,3
HG02069,KHV,EAS,female,2,9,3
HG02070,KHV,EAS,male,1,9,3
HG02072,KHV,EAS,female,2,9,3
HG02073,KHV,EAS,male,1,9,3
HG02075,KHV,EAS,female,2,9,3
HG02076,KHV,EAS,male,1,9,3
HG02078,KHV,EAS,female,2,9,3
HG02079,KHV,EAS,male,1,9,3
HG02081,KHV,EAS,female,2,9,3
HG02082,KHV,EAS,male,1,9,3
HG02084,KHV,EAS,female,2,9,3
HG02085,KHV,EAS,male,1,9,3
HG02086,KHV,EAS,female,2,9,3
HG02087,KHV,EAS,female,2,9,3
HG02088,KHV,EAS,male,1,9,3
HG02089,PEL,AMR,female,2,10,2
HG02090,PEL,AMR,male,1,10,2
HG02095,ACB,AFR,female,2,1,1
HG02102,PEL,AMR,female,2,10,2
HG02104,PEL,AMR,male,1,10,2
HG02105,PEL,AMR,female,2,10,2
HG02107,ACB,AFR,male,1,1,1
HG02108,ACB,AFR,female,2,1,1
HG02111,ACB,AFR,female,2,1,1
HG02113,KHV,EAS,female,2,9,3
HG02116,KHV,EAS,male,1,9,3
HG02121,KHV,EAS,female,2,9,3
HG02122,KHV,EAS,male,1,9,3
HG02127,KHV,EAS,female,2,9,3
HG02128,KHV,EAS,male,1,9,3
HG02130,KHV,EAS,female,2,9,3
HG02131,KHV,EAS,male,1,9,3
HG02133,KHV,EAS,female,2,9,3
HG02134,KHV,EAS,male,1,9,3
HG02136,KHV,EAS,female,2,9,3
HG02137,KHV,EAS,male,1,9,3
HG02138,KHV,EAS,male,1,9,3
HG02139,KHV,EAS,female,2,9,3
HG02140,KHV,EAS,female,2,9,3
HG02141,KHV,EAS,male,1,9,3
HG02142,KHV,EAS,female,2,9,3
HG02143,ACB,AFR,male,1,1,1
HG02144,ACB,AFR,female,2,1,1
HG02146,PEL,AMR,male,1,10,2
HG02147,PEL,AMR,female,2,10,2
HG02150,PEL,AMR,male,1,10,2
HG02151,CDX,EAS,female,2,2,3
HG02152,CDX,EAS,female,2,2,3
HG02153,CDX,EAS,female,2,2,3
HG02154,CDX,EAS,female,2,2,3
HG02155,CDX,EAS,female,2,2,3
HG02156,CDX,EAS,female,2,2,3
HG02164,CDX,EAS,female,2,2,3
HG02165,CDX,EAS,female,2,2,3
HG02166,CDX,EAS,female,2,2,3
HG02178,CDX,EAS,female,2,2,3
HG02179,CDX,EAS,female,2,2,3
HG02180,CDX,EAS,female,2,2,3
